学号		姓名		班级		考勤月		考勤日		考勤状态
12323050213		cde		4		4		1		√
12323050212		zaq		1		3		3		X
12323050202		ert		2		6		5		+
12323050214		vfr		1		9		5		+
12323050217		mju		2		4		5		+
12323050208		jkl		2		4		7		+
12323050215		bgt		1		8		9		X
12323050201		awe		2		4		15		○
12323050204		iop		2		7		15		√
12323050209		zxc		6		9		15		√
12323050210		cvb		2		4		15		○
12323050216		nhy		2		4		15		○
12323050211		bnm		6		12		17		+
12323050207		ghj		2		3		23		○
12323050205		zag		4		4		27		+
12323050206		bas		1		10		30		X
